@T,table,
Created,2018-05-10 09:03,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2018-03-05 00:00,0.0689985507
,2018-03-05 00:05,0.0820542137
,2018-03-05 00:10,0.0157688762
,2018-03-05 00:15,0.0603248681
,2018-03-05 00:20,0.0188964887
,2018-03-05 00:25,0.0913818335
,2018-03-05 00:30,0.0842584006
,2018-03-05 00:35,0.0205768784
,2018-03-05 00:40,0.0642128972
,2018-03-05 00:45,0.0027843397
,2018-03-05 00:50,0.004111247
,2018-03-05 00:55,0.0576803666
,2018-03-05 01:00,0.0487167064
,2018-03-05 01:05,0.0025018247
,2018-03-05 01:10,0.0414621387
,2018-03-05 01:15,0.0289771448
,2018-03-05 01:20,0.0771296989
,2018-03-05 01:25,0.0051182854
,2018-03-05 01:30,0.0964813873
,2018-03-05 01:35,0.0562137391
,2018-03-05 01:40,0.0439880505
,2018-03-05 01:45,0.04515705
,2018-03-05 01:50,0.0826719947
,2018-03-05 01:55,0.0845901761
,2018-03-05 02:00,0.0292176261
,2018-03-05 02:05,0.0963008497
,2018-03-05 02:10,0.084621625
,2018-03-05 02:15,0.0066886482
,2018-03-05 02:20,0.0183470674
,2018-03-05 02:25,0.0235501666
,2018-03-05 02:30,0.00064652
,2018-03-05 02:35,0.0191325935
,2018-03-05 02:40,0.0472848238
,2018-03-05 02:45,0.0904324835
,2018-03-05 02:50,0.0768244826
,2018-03-05 02:55,0.071437539
,2018-03-05 03:00,0.0444550278
,2018-03-05 03:05,0.0104768162
,2018-03-05 03:10,0.0727318677
,2018-03-05 03:15,0.045610704
,2018-03-05 03:20,0.0173251566
,2018-03-05 03:25,0.0289441978
,2018-03-05 03:30,0.0508304143
,2018-03-05 03:35,0.0628337383
,2018-03-05 03:40,0.0488032665
,2018-03-05 03:45,0.0948817882
,2018-03-05 03:50,0.0201206491
,2018-03-05 03:55,0.0941746092
,2018-03-05 04:00,0.0554918814
,2018-03-05 04:05,0.0406687566
,2018-03-05 04:10,0.0091090305
,2018-03-05 04:15,0.0259316827
,2018-03-05 04:20,0.0453249176
,2018-03-05 04:25,0.0819796089
,2018-03-05 04:30,0.081147991
,2018-03-05 04:35,0.0750650615
,2018-03-05 04:40,0.0331674118
,2018-03-05 04:45,0.0402504272
,2018-03-05 04:50,0.0457115588
,2018-03-05 04:55,0.0620424099
,2018-03-05 05:00,0.0238247219
,2018-03-05 05:05,0.0509126507
,2018-03-05 05:10,0.0369950028
,2018-03-05 05:15,0.0691346578
,2018-03-05 05:20,0.0527210305
,2018-03-05 05:25,0.097073196
,2018-03-05 05:30,0.0315021962
,2018-03-05 05:35,0.0580239512
,2018-03-05 05:40,0.0987978775
,2018-03-05 05:45,0.0639071382
,2018-03-05 05:50,0.0965980553
,2018-03-05 05:55,0.080525684
,2018-03-05 06:00,0.0227881396
,2018-03-05 06:05,0.0941200729
,2018-03-05 06:10,0.0593721868
,2018-03-05 06:15,0.0423285907
,2018-03-05 06:20,0.0849300057
,2018-03-05 06:25,0.0984948886
,2018-03-05 06:30,0.0488373584
,2018-03-05 06:35,0.0732644149
,2018-03-05 06:40,0.0021394902
,2018-03-05 06:45,0.0968453855
,2018-03-05 06:50,0.0520785103
,2018-03-05 06:55,0.0880420797
,2018-03-05 07:00,0.0244260417
,2018-03-05 07:05,0.0352924771
,2018-03-05 07:10,0.0095068007
,2018-03-05 07:15,0.0180060388
,2018-03-05 07:20,0.075325562
,2018-03-05 07:25,0.0029852358
,2018-03-05 07:30,0.007942485
,2018-03-05 07:35,0.0100612256
,2018-03-05 07:40,0.0101564098
,2018-03-05 07:45,0.0876551943
,2018-03-05 07:50,0.013052745
,2018-03-05 07:55,0.0352764459
,2018-03-05 08:00,0.0001663162
,2018-03-05 08:05,0.0448765927
,2018-03-05 08:10,0.0736802026
,2018-03-05 08:15,0.0749501075
,2018-03-05 08:20,0.0681073568
,2018-03-05 08:25,0.0274093185
,2018-03-05 08:30,0.0868402931
,2018-03-05 08:35,0.0129932204
,2018-03-05 08:40,0.0557765392
,2018-03-05 08:45,0.0266062003
,2018-03-05 08:50,0.0994608807
,2018-03-05 08:55,0.0486160011
,2018-03-05 09:00,0.0399498345
,2018-03-05 09:05,0.0864774952
,2018-03-05 09:10,0.008594554
,2018-03-05 09:15,0.0606625088
,2018-03-05 09:20,0.0694513981
,2018-03-05 09:25,0.0475913643
,2018-03-05 09:30,0.0972132536
,2018-03-05 09:35,0.0232446804
,2018-03-05 09:40,0.0156656746
,2018-03-05 09:45,0.0002343971
,2018-03-05 09:50,0.0972459102
,2018-03-05 09:55,0.0180309252
