@T,table,
Created,5/10/2018 9:03,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2018-03-05 00:00,0.068998551
,2018-03-05 00:05,0.082054214
,2018-03-05 00:10,0.015768876
,2018-03-05 00:15,0.060324868
,2018-03-05 00:20,0.018896489
,2018-03-05 00:25,0.091381834
,2018-03-05 00:30,0.084258401
,2018-03-05 00:35,0.020576878
,2018-03-05 00:40,0.064212897
,2018-03-05 00:45,0.00278434
,2018-03-05 00:50,0.004111247
,2018-03-05 00:55,0.057680367
,2018-03-05 01:00,0.048716706
,2018-03-05 01:05,0.002501825
,2018-03-05 01:10,0.041462139
,2018-03-05 01:15,0.028977145
,2018-03-05 01:20,0.077129699
,2018-03-05 01:25,0.005118285
,2018-03-05 01:30,0.096481387
,2018-03-05 01:35,0.056213739
,2018-03-05 01:40,0.043988051
,2018-03-05 01:45,0.04515705
,2018-03-05 01:50,0.082671995
,2018-03-05 01:55,0.084590176
,2018-03-05 02:00,0.029217626
,2018-03-05 02:05,0.09630085
,2018-03-05 02:10,0.084621625
,2018-03-05 02:15,0.006688648
,2018-03-05 02:20,0.018347067
,2018-03-05 02:25,0.023550167
,2018-03-05 02:30,0.00064652
,2018-03-05 02:35,0.019132594
,2018-03-05 02:40,0.047284824
,2018-03-05 02:45,0.090432484
,2018-03-05 02:50,0.076824483
,2018-03-05 02:55,0.071437539
,2018-03-05 03:00,0.044455028
,2018-03-05 03:05,0.010476816
,2018-03-05 03:10,0.072731868
,2018-03-05 03:15,0.045610704
,2018-03-05 03:20,0.017325157
,2018-03-05 03:25,0.028944198
,2018-03-05 03:30,0.050830414
,2018-03-05 03:35,0.062833738
,2018-03-05 03:40,0.048803267
,2018-03-05 03:45,0.094881788
,2018-03-05 03:50,0.020120649
,2018-03-05 03:55,0.094174609
,2018-03-05 04:00,0.055491881
,2018-03-05 04:05,0.040668757
,2018-03-05 04:10,0.009109031
,2018-03-05 04:15,0.025931683
,2018-03-05 04:20,0.045324918
,2018-03-05 04:25,0.081979609
,2018-03-05 04:30,0.081147991
,2018-03-05 04:35,0.075065062
,2018-03-05 04:40,0.033167412
,2018-03-05 04:45,0.040250427
,2018-03-05 04:50,0.045711559
,2018-03-05 04:55,0.06204241
,2018-03-05 05:00,0.023824722
,2018-03-05 05:05,0.050912651
,2018-03-05 05:10,0.036995003
,2018-03-05 05:15,0.069134658
,2018-03-05 05:20,0.052721031
,2018-03-05 05:25,0.097073196
,2018-03-05 05:30,0.031502196
,2018-03-05 05:35,0.058023951
,2018-03-05 05:40,0.098797878
,2018-03-05 05:45,0.063907138
,2018-03-05 05:50,0.096598055
,2018-03-05 05:55,0.080525684
,2018-03-05 06:00,0.02278814
,2018-03-05 06:05,0.094120073
,2018-03-05 06:10,0.059372187
,2018-03-05 06:15,0.042328591
,2018-03-05 06:20,0.084930006
,2018-03-05 06:25,0.098494889
,2018-03-05 06:30,0.048837358
,2018-03-05 06:35,0.073264415
,2018-03-05 06:40,0.00213949
,2018-03-05 06:45,0.096845386
,2018-03-05 06:50,0.05207851
,2018-03-05 06:55,0.08804208
,2018-03-05 07:00,0.024426042
,2018-03-05 07:05,0.035292477
,2018-03-05 07:10,0.009506801
,2018-03-05 07:15,0.018006039
,2018-03-05 07:20,0.075325562
,2018-03-05 07:25,0.002985236
,2018-03-05 07:30,0.007942485
,2018-03-05 07:35,0.010061226
,2018-03-05 07:40,0.01015641
,2018-03-05 07:45,0.087655194
,2018-03-05 07:50,0.013052745
,2018-03-05 07:55,0.035276446
,2018-03-05 08:00,0.000166316
,2018-03-05 08:05,0.044876593
,2018-03-05 08:10,0.073680203
,2018-03-05 08:15,0.074950108
,2018-03-05 08:20,0.068107357
,2018-03-05 08:25,0.027409319
,2018-03-05 08:30,0.086840293
,2018-03-05 08:35,0.01299322
